Mic,light,mQ135,temprature,humidity,situation
851,640,169,23,16,L
850,657,169,23,16,L
850,625,169,23,16,L
851,620,169,23,16,L
849,619,169,23,16,L
850,615,169,23,16,L
851,615,169,23,16,L
851,618,169,23,16,L
852,632,168,23,16,L
849,618,169,23,16,L
851,621,170,23,16,L
850,618,169,23,16,L
851,617,169,23,16,L
851,612,169,23,16,L
851,610,169,23,16,L
849,611,169,23,16,L
851,853,169,23,16,L
852,862,169,23,16,L
849,868,169,23,16,L
851,872,170,23,16,L
851,870,169,23,16,L
851,872,169,23,16,L
851,874,170,23,16,L
849,872,168,23,16,L
852,872,169,23,16,L
851,872,169,23,16,L
850,872,167,23,16,L
851,872,169,23,16,L
851,872,171,23,16,L
850,872,167,23,16,L
851,870,170,23,16,L
849,869,170,23,16,L
850,871,169,23,16,L
851,871,169,23,16,L
850,872,170,23,16,L
851,870,169,23,16,L
850,870,169,23,16,L
851,870,168,23,16,L
851,870,169,23,16,L
850,871,170,22,17,L
850,870,169,23,16,L
822,921,516,24,12,L
819,921,508,24,12,L
669,529,416,24,28,M
293,532,414,24,29,M
276,497,410,24,28,M
282,515,409,24,29,M
632,492,407,24,29,M
250,496,400,24,30,M
278,498,399,24,30,M
608,499,397,24,30,M
668,508,390,24,30,M
345,511,389,24,30,M
334,517,386,24,30,M
241,508,383,24,30,M
639,506,382,24,29,M
452,526,380,24,30,M
240,524,375,24,29,M
301,519,376,24,29,M
267,514,373,24,29,M
300,519,371,24,29,M
311,498,371,24,29,M
361,499,369,24,30,M
640,505,368,24,29,M
567,506,362,24,28,M
315,500,363,24,29,M
636,490,361,24,29,M
505,486,358,24,28,M
392,510,360,24,28,M
503,516,358,24,28,M
614,533,356,24,28,M
640,534,353,24,28,M
616,511,353,24,28,M
645,503,353,24,28,M
612,515,348,24,28,M
260,509,349,24,28,M
565,503,350,24,28,M
462,501,347,24,28,M
229,526,345,24,27,M
258,525,347,24,28,M
651,512,344,24,28,M
452,506,341,24,28,M
637,502,344,24,28,M
259,501,340,24,28,M
639,511,337,24,27,M
224,513,338,24,28,M
316,511,340,24,27,M
224,507,340,24,28,M
653,507,336,24,27,M
612,516,339,24,28,M
222,504,336,24,28,M
238,495,333,24,28,M
643,494,334,24,28,M
258,504,332,24,28,M
600,498,333,24,28,M
